cluster_id,event_label,start_date,end_date,total_articles,sample_articles
45,asylum | court | mexico,2018-05-01,2022-04-26,9,few migrants from caravan allowed to enter u s   apply for asylum || donald trump responds to supreme court s travel ban ruling || contradicting trump  incoming mexico government denies making deal to host asylum seekers
69,colbert | donald | host,2018-05-01,2022-04-27,55,colbert names trump s 2 emotions in raunchy new takedown || what robert mueller reportedly wants to ask donald trump || colbert has a few blistering extra questions mueller can ask trump
37,aluminum | american | billion,2018-05-01,2019-12-28,9,trump postpones steel  aluminum tariffs until june || u s  launches auto import probe  china vows to defend its interests || eu  mexico and canada retaliate against trump s steel and aluminum tariffs
57,black | comments | history,2018-05-01,2021-05-15,8,kanye west explains the  most inspiring thing  about donald trump in new video || history professor breaks down what kanye west got wrong in saying slavery was a choice || don lemon unloads on kanye west over  his most shocking claim of all
8,assault | claims | cosby,2018-05-01,2022-06-08,19,ashley judd sues film producer harvey weinstein for defamation and sexual harassment || janice dickinson says she won t feel  vindicated  until cosby is jailed || cate blanchett says harvey weinstein sexually harassed her and should be prosecuted
42,birthday | duchess | duke,2018-05-02,2022-07-21,39,7 places prince harry and meghan markle might honeymoon || priyanka chopra hints meghan markle cried when she found her wedding dress || ellen degeneres hilariously explains how she saved meghan markle s life
35,best | movies | netflix,2018-05-02,2022-07-11,59,the 7 best netflix shows and movies debuting may 2018 || here are the surprise shows coming to netflix in may || 5 ways netflix tricks you into watching more shows and movies
58,actor | artist | artwork,2018-05-03,2021-10-14,10,these kids  portraits of the trump administration should hang in a gallery || jim carrey jabs  stooge  donald trump over north korea in new artwork || jim carrey blasts  castrato  adam schiff and democrats in new artwork
65,abortion | abortions | ban,2018-05-03,2022-08-25,51,iowa lawmakers just approved the most restrictive abortion bill in the country || iowa governor signs nation s strictest abortion ban into law || new trump rule would cut federal funds from clinics providing abortions
49,agreement | deal | iran,2018-05-03,2020-01-07,25,un chief warns trump not to ditch iran nuclear deal || world leaders condemn trump for withdrawing from iran nuclear deal || trump to announce whether u s  will break the iran nuclear deal
70,cohen | daniels | giuliani,2018-05-03,2020-09-13,19,jeffrey toobin  rudy giuliani just confessed that stormy daniels payment broke the law || trump backs rudy giuliani s claim that no campaign money went to stormy daniels || george conway appears to shut down rudy giuliani s claim about stormy daniels payment
39,gun | gunman | killed,2018-05-04,2022-09-06,50,trump regurgitates pro gun talking points at nra convention || shepard smith dings trump s gun control turnaround at nra convention || parkland survivor rips  professional liar  donald trump over nra speech
0,amazon | new | rei,2018-05-04,2022-08-25,9,unions face the fight of their lives to protect american workers || starbucks says anyone can now sit in its cafes    even without buying anything || starbucks announces plans to close 150 underperforming stores
52,chris | host | jada,2018-05-04,2022-06-14,11,jada pinkett smith and gabrielle union end feud after 17 years || jada pinkett smith gets real about dating will smith while he was married || jada pinkett smith says she s  not mature enough  to get a divorce
60,anderson | claim | cnn,2018-05-04,2021-01-14,9,anderson cooper briefly speechless when gop strategist swears he s never heard trump lie || cnn s anderson cooper makes striking point about donald trump s  good general  claim || cnn s anderson cooper delivers scorching fact check of donald trump s shutdown boast
41,barack | day | lady,2018-05-06,2020-09-04,10,michelle obama explains why people shouldn t look to her to run for office || michelle obama shares adorable throwback pic in touching mother s day tribute || michelle obama shares intimate wedding photo in tribute to husband barack
59,jong | kim | korea,2018-05-06,2022-02-27,55,north korea says u s  pressure was not the reason for its denuclearization promise || kim jong un secretly met with xi jinping again || trump and kim jong un likely to meet next month in singapore
36,cia | confirmation | democrats,2018-05-06,2018-05-17,14,gina haspel tried to withdraw from consideration to lead the cia  report || trump defends gina haspel  his nominee for cia director  and her record of torture || 2 senators to watch in the fight over gina haspel s nomination to lead the cia
47,conway | donald | george,2018-05-07,2022-05-24,11,jake tapper grills kellyanne conway  i d like trump to stop lying || jake tapper shreds donald trump with a long list of his conspiracy theories || kellyanne conway s husband rips trump s  ceaseless  shameless  witless  lies
6,calrissian | donald | glover,2018-05-08,2021-08-07,9,whoops  mark hamill just spilled the beans on a major cameo in han solo movie || donald glover did what any fan would do after being cast in  solo || a lando calrissian  star wars  spinoff starring donald glover isn t happening
26,abuse | allegations | chicago,2018-05-08,2022-09-09,10,r  kelly accusers say they had to ask permission to use the bathroom || illinois prosecutor asks possible victims of r  kelly s abuse to come forward || r  kelly under investigation over claims made in lifetime series  reports
40,biden | democrats | joe,2018-05-09,2022-03-03,8,conservative senate democrat who backs trump s agenda defeats progressive challenger || joe manchin demands changes to joe biden s infrastructure plan || joe manchin says voting rights bill can be bipartisan  republicans aren t interested
31,airstrikes | forces | gaza,2018-05-10,2022-04-15,21,israel reportedly fires dozens of rockets into syria || israel launches airstrikes in syria after iranian attacks || israeli forces kill dozens of palestinians as protests intensify over u s  embassy in jerusalem
13,cheating | face | kardashian,2018-05-10,2021-06-15,8,kim kardashian says tristan thompson blocked her after she defended khloe || khloe kardashian finally shares her side of tristan thompson cheating scandal || kim kardashian confronting tristan thompson over cheating scandal is petty goals
